BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Pre-sized,Rockit Trading Company Ltd,Colaghty Orchard,B,R2929,R2929B,12/06/2024,PE1156,Final report sent,Smartfresh Air,22,7920,7920,440,0,0,0,0,7920,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,B3,R2879,R2879B,4/09/2024,P1451,Final report sent,Smartfresh Air,20,8072.388,5552.028,308.446,0,0,2520.36,140.0199986,5552.028,3451.824,646850.88
Orchard pick,Rockit Trading Company Ltd,Steel,C,R1149,R1149C,17/09/2024,P1490,Final report sent,Smartfresh CA,14,6032.344,4990.464,277.248,0,0,1041.88,57.88222164,4990.464,0,0
Orchard pick,Rockit Trading Company Ltd,Springhill East,30,R2949,R2949M,10/06/2024,P1281,Final report sent,Smartfresh Air,141,58839.764,53446.644,2969.258,0,0,5393.12,299.6177748,53446.644,1050.264,126031.68
Orchard pick,Rockit Trading Company Ltd,Korokipo,KCR3,R2850,R2850E,12/10/2024,P1571,Final report sent,Smartfresh CA,52,21672.332,18645.412,1035.856221,0,0,3026.92,168.1622205,18645.412,8455.36,1491327.28
Pre-sized,Rockit Trading Company Ltd,Valley,A1,R2919,R2919A,2/06/2024,PE1145,Final report sent,Smartfresh Air,26,9360,9360,520,0,0,0,0,9360,3600,702000
Orchard pick,Rockit Trading Company Ltd,Lowry Heretaunga,B1,R2946,R2946B,13/10/2024,P1572,Final report sent,Smartfresh CA,32,13452.42,11747.06,652.6144439,0,0,1705.36,94.74222127,11747.06,4930.028,883071.56
Pre-sized,Rockit Trading Company Ltd,Sim1,C2,R2900,R2900C,18/09/2024,PE1274,Final report sent,Smartfresh CA,2,720,720,40,0,0,0,0,720,0,0
Pre-sized,Rockit Trading Company Ltd,Steel,D,R1149,R1149D,23/08/2024,PE1204,Final report sent,Smartfresh CA,14,5040,5040,280,0,0,0,0,5040,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit STOCK ROADS,,R2534,R2534D,11/09/2024,P1470,Final report sent,Smartfresh CA,28,11405.4,8559.72,475.54,0,0,2845.68,158.0933318,8559.72,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,D2,R2879,R2879D,6/08/2024,P1394,Final report sent,Smartfresh Air,42,18016.924,13900.284,772.238,0,0,4116.64,228.7022199,13900.284,350.028,42003.36
Orchard pick,Rockit Trading Company Ltd,Raukawa,B3,R1232,R1232B,14/10/2024,P1575,Final report sent,Smartfresh CA,41,16719.828,14137.508,785.4171101,0,0,2582.32,143.4622208,14137.508,6921.452,1168712.78
Orchard pick,Rockit Trading Company Ltd,Rockit Manahi,,R2880,R2880A,8/07/2024,P1344,Final report sent,Smartfresh Air,232,93724.852,83351.772,4630.654,0,0,10373.08,576.2822165,83351.772,30471.768,5614098.66
Pre-sized,Rockit Trading Company Ltd,Parkhill Orchard,PHRK,R2841,R2841A,16/09/2024,PE1257,Final report sent,Smartfresh CA,46,16560,16560,920,0,0,0,0,16560,0,0
Pre-sized,Rockit Trading Company Ltd,Springhill East,32,R2949,R2949O,24/07/2024,PE1176,Final report sent,Smartfresh Air,141,50760,50760,2820,0,0,0,0,50760,360,43200
Pre-sized,Rockit Trading Company Ltd,Longlands,,R2329,R2329A,2/07/2024,PE1171,Done,Smartfresh Air,133,48960,48960,2720,0,0,0,0,48960,19080,2829600
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,C1,R2879,R2879C,24/06/2024,PE1164,Done,Smartfresh Air,10,3240,3240,180,0,0,0,0,3240,1080,210600
Pre-sized,Rockit Trading Company Ltd,Colaghty Orchard,A,R2929,R2929A,23/08/2024,PE1205,Final report sent,Smartfresh Air,3,1080,1080,60,0,0,0,0,1080,0,0
Pre-sized,Rockit Trading Company Ltd,Pioneer,,R1580,R1580C,12/06/2024,PE1154,Final report sent,Smartfresh Air,77,27720,27720,1540,0,0,0,0,27720,0,0
